序号,汉字,拼音,义符（按字源）,声符（按字源）,构形依据,《说文》原文
718,拘,jū,句,句,从句从手，句亦聲,止也。从句从手，句亦聲。
719,拙,zhuō,手,出,从手出聲,不巧也。从手出聲。
720,拚,biàn,手,弁,从手弁聲,拊手也。从手弁聲。
721,拨,bō,手,發,从手發聲,治也。从手發聲。
722,择,zé,手,睪,从手睪聲,柬選也。从手睪聲。
723,放,fàng,放,方,从攴方聲,逐也。从攴方聲。凡放之屬皆从放。
724,斧,fǔ,斤,父,从斤父聲,斫也。从斤父聲。
725,昂,áng,日,卬,从日卬聲,舉也。从日卬聲。
726,昃,zè,日,仄,从日仄聲,日在西方時。側也。从日仄聲。《易》曰：“日𣅛之離。”
727,昕,xīn,日,斤,从日斤聲,旦明，日將出也。从日斤聲。讀若希。
728,服,fú,舟,𠬝,从舟𠬝聲,用也。一曰車右騑，所以舟旋。从舟𠬝聲。
729,杪,miǎo,木,少,从木少聲,木標末也。从木少聲。
730,杰,jié,人,桀,从人桀聲,傲也。从人桀聲。
731,杵,chǔ,木,午,从木午聲,舂杵也。从木午聲。
732,杷,pá,木,巴,从木巴聲,收麥器。从木巴聲。
733,杼,zhù,木,予,从木予聲,機之持緯者。从木予聲。
734,松,sōng,木,公,从木公聲,木也。从木公聲。
735,构,gòu,木,冓,从木冓聲,蓋也。从木冓聲。杜林以爲椽桷字。
736,枇,pí,木,比,从木比聲,枇杷，木也。从木比聲。
737,枉,wǎng,木,㞷,从木㞷聲,衺曲也。从木㞷聲。
738,枋,fāng,木,方,从木方聲,木。可作車。从木方聲。
739,枕,zhěn,木,冘,从木冘聲,臥所薦首者。从木冘聲。
740,枝,zhī,木,支,从木支聲,木别生條也。从木支聲。
741,枞,cōng,木,從,从木從聲,松葉柏身。从木從聲。
742,枢,shū,木,區,从木區聲,戶樞也。从木區聲。
743,枥,lì,木,歴,从木歴聲,櫪㯕，椑指也。从木歴聲。
744,枨,chéng,木,長,从木長聲,杖也。从木長聲。一曰法也。
745,枪,qiāng,木,倉,从木倉聲,歫也。从木倉聲。一曰槍，欀也。
746,枫,fēng,木,風,从木風聲,木也。厚葉弱枝，善搖。一名欇。从木風聲。
747,柜,jǔ,木,巨,从木巨聲,木也。从木巨聲。
748,欣,xīn,欠,斤,从欠斤聲,笑喜也。从欠斤聲。
749,欧,ǒu,欠,區,从欠區聲,吐也。从欠區聲。
750,殴,ōu,殳,區,从殳區聲,捶毄物也。从殳區聲。
751,氓,méng,民,亡,从民亡聲,民也。从民亡聲。讀若盲。
752,氛,fēn,气,分,从气分聲,祥气也。从气分聲。
753,沫,mò,水,末,从水末聲,水。出蜀西徼外，東南入江。从水末聲。
754,沭,shù,水,术,从水术聲,水。出青州浸。从水术聲。
755,沮,jū,水,且,从水且聲,水。出漢中房陵，東入江。从水且聲。
756,沱,tuó,水,它,从水它聲,江別流也。出㟭山東，別爲沱。从水它聲。
757,河,hé,水,可,从水可聲,水。出焞煌塞外昆侖山，發原注海。从水可聲。
758,沸,fèi,水,弗,从水弗聲,滭沸，濫泉。从水弗聲。
759,油,yóu,水,由,从水由聲,水。出武陵孱陵西，東南入江。从水由聲。
760,治,chí,水,台,从水台聲,水。出東萊曲城陽丘山，南入海。从水台聲。
761,沼,zhǎo,水,召,从水召聲,池水。从水召聲。
762,沽,gū,水,古,从水古聲,水。出漁陽塞外，東入海。从水古聲。
763,沾,zhān,水,占,从水占聲,水。出壺關，東入淇。一曰沾，益也。从水占聲。
764,沿,yán,水,㕣,从水㕣聲,緣水而下也。从水㕣聲。《春秋傳》曰：“王沿夏。”
765,泄,yì,水,丗,从水丗聲,水。受九江博安洵波，北入氐。从水丗聲。
766,泌,bì,水,必,从水必聲,俠流也。从水必聲。
767,泓,hóng,水,弘,从水弘聲,下深皃。从水弘聲。
768,泔,gān,水,甘,从水甘聲,周謂潘曰泔。从水甘聲。
769,泗,sì,水,四,从水四聲,受泲水，東入淮。从水四聲。
770,泞,nìng,水,寕,从水寕聲,滎濘也。从水寕聲。
771,泠,líng,水,令,从水令聲,水。出丹陽宛陵，西北入江。从水令聲。
772,泡,pāo,水,包,从水包聲,水。出山陽平樂，東北入泗。从水包聲。
773,波,bō,水,皮,从水皮聲,水涌流也。从水皮聲。
774,泣,qì,水,立,从水立聲,無聲出涕曰泣。从水立聲。
775,泥,ní,水,尼,从水尼聲,水。出北地郁郅北蠻中。从水尼聲。
776,注,zhù,水,主,从水主聲,灌也。从水主聲。
777,泫,xuàn,水,玄,从水玄聲,湝流也。从水玄聲。上黨有泫氏縣。
778,泮,pàn,水,半,从水从半，半亦聲,諸矦鄉射之宮，西南爲水，東北爲牆。从水从半，半亦聲。
779,泯,mǐn,水,民,从水民聲,滅也。从水民聲。
780,泱,yāng,水,央,从水央聲,滃也。从水央聲。
781,泳,yǒng,水,永,从水永聲,潛行水中也。从水永聲。
782,泷,lóng,水,龍,从水龍聲,雨瀧瀧皃。从水龍聲。
783,泸,lú,水,盧,从水盧聲,水名。从水盧聲。
784,泺,luò,水,樂,从水樂聲,齊魯閒水也。从水樂聲。《春秋傳》曰：“公會齊侯于濼。”
785,泽,zé,水,睪,从水睪聲,光潤也。从水睪聲。
786,泾,jīng,水,坙,从水坙聲,水。出安定涇陽幵頭山，東南入渭。雝州之川也。从水坙聲。
787,浅,qiǎn,水,戔,从水戔聲,不深也。从水戔聲。
788,炊,chuī,火,吹,从火，吹省聲,爨也。从火，吹省聲。
789,炕,kàng,火,亢,从火亢聲,乾也。从火亢聲。
790,炜,wěi,火,韋,从火韋聲,盛赤也。从火韋聲。《詩》曰：“彤管有煒。”
791,版,bǎn,片,反,从片反聲,判也。从片反聲。
792,牦,lí,犛,𠩺,从牛𠩺聲,西南夷長髦牛也。从牛𠩺聲。凡犛之屬皆从犛。
793,狎,xiá,犬,甲,从犬甲聲,犬可習也。从犬甲聲。
794,狐,hú,犬,瓜,从犬瓜聲,䄏獸也。鬼所乘之。有三徳：其色中和，小前大後，死則丘首。从犬瓜聲。
795,狗,gǒu,犬,句,”从犬句聲,孔子曰：“狗，叩也。叩气吠以守。”从犬句聲。
796,狙,jū,犬,且,从犬且聲,玃屬。从犬且聲。一曰狙，犬也，暫齧人者。一曰犬不齧人也。
797,玟,méi,玉,文,从玉文聲,火齊，玫瑰也。一曰石之美者。从玉文聲。
798,玩,wán,玉,元,从玉元聲,弄也。从玉元聲。
799,环,huán,玉,睘,从玉睘聲,璧也。肉好若一謂之環。从玉睘聲。
800,瓮,wèng,瓦,公,从瓦公聲,罌也。从瓦公聲。
801,瓯,ōu,瓦,區,从瓦區聲,小盆也。从瓦區聲。
802,畀,bì,丌,甶,从丌甶聲,相付與之。約在閣上也。从丌甶聲。
803,疝,shàn,疒,山,从疒山聲,腹痛也。从疒山聲。
804,疟,nüè,疒,虐,从疒从虐，虐亦聲,熱寒休作。从疒从虐，虐亦聲。
805,疠,lì,疒,蠆,从疒，蠆省聲,惡疾也。从疒，蠆省聲。
806,疡,yáng,疒,昜,从疒昜聲,頭創也。从疒昜聲。
807,盂,yú,皿,亏,从皿亏聲,飯器也。从皿亏聲。
808,盱,xū,目,于,从目于聲,張目也。从目于聲。一曰朝鮮謂盧童子曰盱。
809,盲,máng,目,亡,从目亡聲,目無牟子。从目亡聲。
810,砀,dàng,石,昜,从石昜聲,文石也。从石昜聲。
811,祆,xiān,示,天,从示天聲,胡神也。从示天聲。
812,祈,qí,示,斤,从示斤聲,求福也。从示斤聲。
813,祉,zhǐ,示,止,从示止聲,福也。从示止聲。
814,秆,gǎn,禾,旱,从禾旱聲,禾莖也。从禾旱聲。《春秋傳》曰：“或投一秉稈。”
815,穸,xī,穴,夕,从穴夕聲,窀穸也。从穴夕聲。
816,穹,qióng,穴,弓,从穴弓聲,窮也。从穴弓聲。
817,空,kōng,穴,工,从穴工聲,竅也。从穴工聲。
818,竺,dǔ,二,竹,从二竹聲,厚也。从二竹聲。
819,线,xiàn,糸,戔,从糸戔聲,縷也。从糸戔聲。
820,绀,gàn,糸,甘,从糸甘聲,帛深青揚赤色。从糸甘聲。
821,绁,xiè,糸,丗,从糸丗聲,系也。从糸丗聲。《春秋傳》曰：“臣負羈紲。”
822,练,liàn,糸,柬,从糸柬聲,湅繒也。从糸柬聲。
823,组,zǔ,糸,且,从糸且聲,綬屬。其小者以爲冕纓。从糸且聲。
824,绅,shēn,糸,申,从糸申聲,大帶也。从糸申聲。
825,细,kěn,土,豤,从土豤聲,耕也。从土豤聲。
826,织,zhī,糸,戠,从糸戠聲,作布帛之緫名也。从糸戠聲。
827,终,tóng,龜,夂,从龜夂聲,龜名。从龜夂聲。夂，古文終字。
828,绉,bí,鳥,皀,从鳥皀聲,𪀐绉也。从鳥皀聲。
829,绊,bàn,糸,半,从糸半聲,馬縶也。从糸半聲。
830,绋,fú,糸,弗,从糸弗聲,亂系也。从糸弗聲。
831,绌,chù,糸,出,从糸出聲,絳也。从糸出聲。
832,绍,shào,糸,召,从糸召聲,繼也。从糸召聲。一曰紹，緊糾也。
833,绎,yì,糸,睪,从糸睪聲,抽絲也。从糸睪聲。
834,经,jīng,糸,巠,从糸巠聲,織也。从糸巠聲。
835,绐,dài,糸,台,从糸台聲,絲勞卽紿。从糸台聲。
836,者,zhě,𪞶,纺,从𪞶纺聲,別事詞也。从𪞶纺聲。纺，古文旅字。
837,股,gǔ,肉,殳,从肉殳聲,髀也。从肉殳聲。
838,肪,fáng,肉,方,从肉方聲,𦘺也。从肉方聲。
839,肫,zhūn,肉,屯,从肉屯聲,面頯也。从肉屯聲。
840,肭,nǜ,月,内,从月内聲,朔而月見東方謂之縮肭。从月内聲。
841,育,yù,𠫓,肉,从𠫓肉聲,養子使作善也。从𠫓肉聲。《虞書》曰：“教育子。”
842,肴,yáo,肉,爻,从肉爻聲,啖也。从肉爻聲。
843,肺,fèi,肉,巿,从肉巿聲,金藏也。从肉巿聲。
844,肾,shèn,肉,臤,从肉臤聲,水藏也。从肉臤聲。
845,肿,zhǒng,肉,重,从肉重聲,癰也。从肉重聲。
846,胁,xié,肉,劦,从肉劦聲,兩𦜶也。从肉劦聲。
847,艰,jiān,堇,艮,从堇艮聲,土難治也。从堇艮聲。
848,苑,yuàn,艸,夗,从艸夗聲,所以養禽獸也。从艸夗聲。
849,苓,líng,艸,令,从艸令聲,卷耳也。从艸令聲。
850,苕,tiáo,艸,召,从艸召聲,艸也。从艸召聲。
851,苛,kē,艸,可,从艸可聲,小艸也。从艸可聲。
852,苞,bāo,艸,包,从艸包聲,艸也。南陽以爲麤履。从艸包聲。
853,苟,gǒu,艸,句,从艸句聲,艸也。从艸句聲。
854,苦,kǔ,艸,古,从艸古聲,大苦，苓也。从艸古聲。
855,苫,shān,艸,占,从艸占聲,蓋也。从艸占聲。
856,英,yīng,艸,央,从艸央聲,艸榮而不實者。一曰黃英。从艸央聲。
857,苴,jū,艸,且,从艸且聲,履中艸。从艸且聲。
858,苹,píng,艸,平,从艸平聲,蓱也。無根，浮水而生者。从艸平聲。
859,茁,zhuó,艸,出,从艸出聲,艸初生出地皃。从艸出聲。《詩》曰：“彼茁者葭。”
860,茂,mào,艸,戊,从艸戊聲,艸豐盛。从艸戊聲。
861,范,fàn,艸,氾,从艸氾聲,艸也。从艸氾聲。
862,茄,jiā,艸,加,从艸加聲,芙蕖莖。从艸加聲。
863,茅,máo,艸,矛,从艸矛聲,菅也。从艸矛聲。
864,茇,bá,艸,犮,从艸犮聲,艸根也。从艸犮聲。春艸根枯，引之而發土爲撥，故謂之茇。一曰艸之白華爲茇。
865,茎,jīng,艸,巠,从艸巠聲,枝柱也。从艸巠聲。
866,茏,lóng,艸,龍,从艸龍聲,天蘥也。从艸龍聲。
867,茑,niǎo,艸,鳥,从艸鳥聲,寄生也。从艸鳥聲。《詩》曰：“蔦與女蘿。”
868,茔,yíng,土,熒,从土，熒省聲,墓也。从土，熒省聲。
869,茕,qióng,卂,營,从卂，營省聲,回疾也。从卂，營省聲。
870,虏,lǔ,毌,虍,从毌从力，虍聲,獲也。从毌从力，虍聲。
871,虮,jǐ,虫,幾,从虫幾聲,蝨子也。一曰齊謂蛭曰蟣。从虫幾聲。
872,虱,shī,䖵,卂,从䖵卂聲,齧人蟲。从䖵卂聲。
873,衫,shān,衣,彡,从衣彡聲,衣也。从衣彡聲。
874,诔,lěi,言,耒,从言耒聲,諡也。从言耒聲。
875,试,shì,言,式,从言式聲,用也。从言式聲。《虞書》曰：“明試以功。”
876,诖,guà,言,圭,从言圭聲,誤也。从言圭聲。
877,诗,shī,言,寺,从言寺聲,志也。从言寺聲。
878,诘,jié,言,吉,从言吉聲,問也。从言吉聲。
879,诚,chéng,言,成,从言成聲,信也。从言成聲。
880,诛,zhū,言,朱,从言朱聲,討也。从言朱聲。
881,诜,shēn,言,先,从言从先，先亦聲,致言也。从言从先，先亦聲。《詩》曰：“螽斯羽詵詵兮。”
882,话,huà,言,𠯑,从言𠯑聲,合會善言也。从言𠯑聲。《傳》曰：“告之話言。”
883,诞,dàn,言,延,从言延聲,詞誕也。从言延聲。
884,诟,gòu,言,后,从言后聲,謑詬，恥也。从言后聲。
885,诠,quán,言,全,从言全聲,具也。从言全聲。
886,诡,guǐ,言,危,从言危聲,責也。从言危聲。
887,询,xún,言,旬,从言旬聲,謀也。从言旬聲。
888,诣,yì,言,旨,从言旨聲,𠋫至也。从言旨聲。
889,诤,zhèng,言,爭,从言爭聲,止也。从言爭聲。
890,该,gāi,言,亥,从言亥聲,軍中約也。从言亥聲。讀若心中滿該。
891,详,xiáng,言,羊,从言羊聲,審議也。从言羊聲。
892,诩,xǔ,言,羽,从言羽聲,大言也。从言羽聲。
893,责,zé,貝,朿,从貝朿聲,求也。从貝朿聲。
894,贤,xián,貝,臤,从貝臤聲,多才也。从貝臤聲。
895,货,huò,貝,化,从貝化聲,財也。从貝化聲。
896,贩,fàn,貝,反,从貝反聲,買賤賣貴者。从貝反聲。
897,贪,tān,貝,今,从貝今聲,欲物也。从貝今聲。
898,贫,pín,貝,分,从貝从分，分亦聲,財分少也。从貝从分，分亦聲。
899,购,gòu,貝,冓,从貝冓聲,以財有所求也。从貝冓聲。
900,贮,zhù,貝,宁,从貝宁聲,積也。从貝宁聲。
901,转,zhuǎn,車,專,从車專聲,運也。从車專聲。
902,轮,lún,車,侖,从車侖聲,有輻曰輪，無輻曰輇。从車侖聲。
903,迢,tiáo,辵,召,从辵召聲,迢，遰也。从辵召聲。
904,迥,jiǒng,辵,冋,从辵冋聲,遠也。从辵冋聲。
905,迩,ěr,辵,爾,从辵爾聲,近也。从辵爾聲。
906,迪,dí,辵,由,从辵由聲,道也。从辵由聲。
907,迫,pò,辵,白,从辵白聲,近也。从辵白聲。
908,迭,dié,辵,失,从辵失聲,更迭也。从辵失聲。一曰达。
909,迮,zé,辵,作,从辵，作省聲,迮迮，起也。从辵，作省聲。
910,述,shù,辵,术,从辵术聲,循也。从辵术聲。
911,邾,zhū,邑,朱,从邑朱聲,江夏縣。从邑朱聲。
912,郁,yù,邑,有,从邑有聲,右扶風郁夷也。从邑有聲。
913,郅,zhì,邑,至,从邑至聲,北地郁郅縣。从邑至聲。
914,郇,xún,邑,旬,从邑旬聲,周武王子所封國，在晉地。从邑旬聲。讀若泓。
915,郊,jiāo,邑,交,从邑交聲,距國百里爲郊。从邑交聲。
916,郎,láng,邑,良,从邑良聲,魯亭也。从邑良聲。
917,郏,jiá,邑,夾,从邑夾聲,潁川縣。从邑夾聲。
918,郐,kuài,邑,會,从邑會聲,祝融之後，妘姓所封。潧洧之間。鄭滅之。从邑會聲。
919,郑,zhèng,邑,奠,从邑奠聲,京兆縣。周厲王子友所封。从邑奠聲。宗周之滅，鄭徙潧洧之上，今新鄭是也。
920,郓,yùn,邑,軍,从邑軍聲,河内沁水鄉。从邑軍聲。魯有鄆地。
921,钍,zhì,宀,眞,从宀眞聲,置也。从宀眞聲。
922,钏,chuàn,金,川,从金川聲,臂環也。从金川聲。
923,钐,yáo,欠,䍃,从欠䍃聲,钐钐，气出皃。从欠䍃聲。
924,钓,diào,金,勺,从金勺聲,鉤魚也。从金勺聲。
925,钗,chāi,金,叉,从金叉聲,笄屬。从金叉聲。本只作叉，此字後人所加。
926,闸,yā,門,甲,从門甲聲,開閉門也。从門甲聲。
927,降,jiàng,𨸏,夅,从𨸏夅聲,下也。从𨸏夅聲。
928,限,xiàn,𨸏,艮,从𨸏艮聲,阻也。一曰門榍。从𨸏艮聲。
929,陔,gāi,𨸏,亥,从𨸏亥聲,階次也。从𨸏亥聲。
930,陕,shǎn,𨸏,夾,从𨸏夾聲,弘農陝也。古虢國，王季之子所封也。从𨸏夾聲。
931,顶,dǐng,頁,丁,从頁丁聲,顚也。从頁丁聲。
932,饯,jiàn,食,戔,从食戔聲,送去也。从食戔聲。《詩》曰：“顯父餞之。”
933,饰,shì,巾,食,从巾从人，食聲,㕞也。从巾从人，食聲。讀若式。一曰襐飾。
934,饱,bǎo,食,包,从食包聲,猒也。从食包聲。
935,饴,yí,食,台,从食台聲,米糱煎也。从食台聲。
936,驵,zǎng,馬,且,从馬且聲,牡馬也。从馬且聲。一曰馬蹲駔也。
937,驷,sì,馬,四,从馬四聲,一乘也。从馬四聲。
938,驸,fù,馬,付,从馬付聲,副馬也。从馬付聲。一曰近也。一曰疾也。
939,驹,jū,馬,句,从馬句聲,馬二歲曰駒，三歲曰駣。从馬句聲。
940,驺,zōu,馬,芻,从馬芻聲,廏御也。从馬芻聲。
941,驻,zhù,馬,主,从馬主聲,馬立也。从馬主聲。
942,驾,jià,馬,加,从馬加聲,馬在軛中。从馬加聲。
943,驿,yì,馬,睪,从馬睪聲,置騎也。从馬睪聲。
944,骀,tái,馬,台,从馬台聲,馬銜脫也。从馬台聲。
945,临,lín,臥,品,从臥品聲,監臨也。从臥品聲。
946,亭,tíng,高,丁,亭有樓，从高省，丁聲,民所安定也。亭有樓，从高省，丁聲。
947,亲,qīn,見,亲,从見亲聲,至也。从見亲聲。
948,侮,wǔ,人,𣫭,从人𣫭聲,傷也。从人𣫭聲。
949,促,cù,人,足,从人足聲,迫也。从人足聲。
950,俄,é,人,我,从人我聲,行頃也。从人我聲。《詩》曰：“仄弁之俄。”
951,俅,qiú,人,求,从人求聲,冠飾皃。从人求聲。《詩》曰：“弁服俅俅。”
952,俊,jùn,人,夋,从人夋聲,材千人也。从人夋聲。
953,俑,yǒng,人,甬,从人甬聲,痛也。从人甬聲。
954,俗,sú,人,谷,从人谷聲,習也。从人谷聲。
955,俘,fū,人,孚,从人孚聲,軍所獲也。从人孚聲。《春秋傳》曰：“以爲俘聝。”
956,俚,lǐ,人,里,从人里聲,聊也。从人里聲。
957,俜,pīng,人,甹,从人甹聲,使也。从人甹聲。
958,俟,sì,人,矣,从人矣聲,大也。从人矣聲。《詩》曰：“伾伾俟俟。”
959,俣,yǔ,人,吳,从人吳聲,大也。从人吳聲。《詩》曰：“碩人俁俁。”
960,俦,dào,人,壽,从人壽聲,翳也。从人壽聲。
961,俨,yǎn,人,嚴,从人嚴聲,昂頭也。从人嚴聲。一曰好皃。
962,俪,lí,人,麗,从人麗聲,棽儷也。从人麗聲。
963,俭,jiǎn,人,僉,从人僉聲,約也。从人僉聲。
964,修,xiū,彡,攸,从彡攸聲,飾也。从彡攸聲。
965,兹,zī,艸,兹,从艸，兹省聲,艸木多益。从艸，兹省聲。
966,养,yǎng,食,羊,从食羊聲,供養也。从食羊聲。
967,冠,guān,冖,元,从冂从元，元亦聲,絭也。所以絭髮，弁冕之緫名也。从冂从元，元亦聲。冠有法制，从寸。
968,削,xuē,刀,肖,从刀肖聲,鞞也。一曰析也。从刀肖聲。
969,勃,bó,力,孛,从力孛聲,排也。从力孛聲。
970,勇,yǒng,力,甬,从力甬聲,气也。从力甬聲。
971,勉,miǎn,力,免,从力免聲,彊也。从力免聲。
972,勋,xūn,力,熏,从力熏聲,能成王功也。从力熏聲。
973,匍,pú,勹,甫,从勹甫聲,手行也。从勹甫聲。
974,南,nán,𣎵,𢆉,从𣎵𢆉聲,艸木至南方，有枝任也。从𣎵𢆉聲。
975,厘,lí,里,𠩺,从里𠩺聲,家福也。从里𠩺聲。
976,受,shòu,𠬪,舟,从𠬪，舟省聲,相付也。从𠬪，舟省聲。
977,变,biàn,攴,䜌,从攴䜌聲,更也。从攴䜌聲。
978,叙,xù,攴,余,从攴余聲,次弟也。从攴余聲。
979,叛,pàn,半,反,从半反聲,半也。从半反聲。
980,咤,zhà,口,乇,从口乇聲,噴也。叱怒也。从口乇聲。
981,咦,yí,口,夷,从口夷聲,南陽謂大呼曰咦。从口夷聲。
982,咨,zī,口,次,从口次聲,謀事曰咨。从口次聲。
983,咫,zhǐ,尺,只,从尺只聲,中婦人手長八寸，謂之咫。周尺也。从尺只聲。
984,咳,hái,口,亥,从口亥聲,小兒笑也。从口亥聲。
985,咽,yān,口,因,从口因聲,嗌也。从口因聲。
986,哀,āi,口,衣,从口衣聲,閔也。从口衣聲。
987,哄,hòng,鬥,共,从鬥共聲,鬭也。从鬥共聲。《孟子》曰：“鄒與魯鬨。”
988,哆,chǐ,口,多,从口多聲,張口也。从口多聲。
989,哇,wā,口,圭,从口圭聲,諂聲也。从口圭聲。讀若醫。
990,哉,zāi,口,𢦔,从口𢦔聲,言之閒也。从口𢦔聲。
991,响,xiǎng,音,鄉,从音鄉聲,聲也。从音鄉聲。
992,哑,è,口,亞,从口亞聲,笑也。从口亞聲。《易》曰：“笑言啞啞。”
993,哓,xiāo,口,堯,从口堯聲,懼也。从口堯聲。《詩》曰：“唯予音之嘵嘵。”
994,哕,yuē,口,歲,从口歲聲,气啎也。从口歲聲。
995,哗,huā,言,華,从言華聲,讙也。从言華聲。
996,哙,kuài,口,會,从口會聲,咽也。从口會聲。讀若快。一曰嚵，噲也。
997,哜,jì,口,齊,从口齊聲,嘗也。从口齊聲。《周書》曰：“大保受同祭嚌。”
998,囿,yòu,囗,有,从囗有聲,苑有垣也。从囗有聲。一曰禽獸曰囿。
999,型,xíng,土,刑,从土刑聲,鑄器之法也。从土刑聲。
1000,垓,gāi,土,亥,”从土亥聲,兼垓八極地也。《國語》曰：“天子居九垓之田。”从土亥聲。
1001,垠,yín,土,艮,从土艮聲,地垠也。一曰岸也。从土艮聲。
1002,垢,gòu,土,后,从土后聲,濁也。从土后聲。
1003,垣,yuán,土,亘,从土亘聲,牆也。从土亘聲。
1004,垤,dié,土,至,”从土至聲,螘封也。《詩》曰：“鸛鳴于垤。”从土至聲。
1005,垩,è,土,亞,从土亞聲,白涂也。从土亞聲。
1006,垫,diàn,土,執,”从土執聲,下也。《春秋傳》曰：“墊隘。”从土執聲。
1007,垲,kǎi,土,豈,从土豈聲,高燥也。从土豈聲。
1008,城,chéng,土,成,从土从成，成亦聲,以盛民也。从土从成，成亦聲。
1009,埏,yán,土,延,从土延聲,八方之地也。从土延聲。
1010,复,fù,彳,复,从彳复聲,往來也。从彳复聲。
1011,奎,kuí,大,圭,从大圭聲,兩髀之閒。从大圭聲。
1012,奕,yì,亣,亣,从亣亦聲,大也。从亣亦聲。《詩》曰：“奕奕梁山。”
1013,姘,pīn,女,幷,”从女幷聲,除也。漢律：“齊人予妻婢姦曰姘。”从女幷聲。
1014,姚,yáo,女,兆,从女兆聲,虞舜居姚虛，因以爲姓。从女兆聲。或爲姚，嬈也。《史篇》以爲：姚，易也。
1015,姜,jiāng,女,羊,从女羊聲,神農居姜水，以爲姓。从女羊聲。
1016,姝,shū,女,朱,从女朱聲,好也。从女朱聲。
1017,姣,jiǎo,女,交,从女交聲,好也。从女交聲。
1018,姨,yí,女,夷,从女夷聲,妻之女弟同出爲姨。从女夷聲。
1019,姹,chà,女,乇,从女乇聲,少女也。从女乇聲。
1020,姻,yīn,女,因,从女从因，因亦聲,壻家也。女之所因，故曰姻。从女从因，因亦聲。
1021,姿,zī,女,次,从女次聲,態也。从女次聲。
1022,娃,wā,女,圭,从女圭聲,圜深目皃。或曰吳楚之閒謂好曰娃。从女圭聲。
1023,娆,niǎo,女,堯,从女堯聲,苛也。一曰擾、戲弄也，一曰嬥也。从女堯聲。
1024,娇,jiāo,女,喬,从女喬聲,姿也。从女喬聲。
1025,娈,liàn,女,䜌,从女䜌聲,慕也。从女䜌聲。
1026,孪,luán,子,䜌,从子䜌聲,一乳兩子也。从子䜌聲。
1027,客,kè,宀,各,从宀各聲,寄也。从宀各聲。
1028,宣,xuān,宀,𠄢,从宀𠄢聲,天子宣室也。从宀𠄢聲。
1029,宥,yòu,宀,有,从宀有聲,寬也。从宀有聲。
1030,宪,xiàn,心,害,从心从目，害省聲,敏也。从心从目，害省聲。
1031,宫,gōng,宮,躳,从宀，躳省聲,室也。从宀，躳省聲。凡宮之屬皆从宮。
1032,将,jiàng,寸,𤖕,从寸，𤖕省聲,帥也。从寸，𤖕省聲。
1033,尝,cháng,旨,尚,从旨尚聲,口味之也。从旨尚聲。
1034,屏,píng,尸,幷,从尸幷聲,屏蔽也。从尸幷聲。
1035,峋,xún,山,旬,从山旬聲,嶙峋也。从山旬聲。
1036,峤,jiào,山,喬,从山喬聲,山銳而高也。从山喬聲。古通用喬。
1037,峦,luán,山,䜌,从山䜌聲,山小而銳。从山䜌聲。
1038,帝,dì,丄,朿,从丄朿聲,諦也。王天下之號也。从丄朿聲。
1039,幽,yōu,𢆶,𢆶,从山中𢆶，𢆶亦聲,隱也。从山中𢆶，𢆶亦聲。
1040,庠,xiáng,广,羊,从广羊聲,禮官養老。夏曰校，殷曰庠，周曰序。从广羊聲。
1041,度,dù,又,庶,从又，庶省聲,法制也。从又，庶省聲。
1042,庭,tíng,广,廷,从广廷聲,宮中也。从广廷聲。
1043,弈,yì,𠬞,廾,从廾亦聲,圍棊也。从廾亦聲。《論語》曰：“不有博弈者乎！”
1044,弭,mǐ,弓,耳,从弓耳聲,弓無緣，可以解轡紛者。从弓耳聲。
1045,弯,wān,弓,䜌,从弓䜌聲,持弓關矢也。从弓䜌聲。
1046,彦,yàn,彣,厂,从彣厂聲,美士有文，人所言也。从彣厂聲。
1047,待,dài,彳,寺,从彳寺聲,竢也。从彳寺聲。
1048,很,hěn,彳,𥃩,从彳𥃩聲,不聽从也。一曰行難也。一曰盭也。从彳𥃩聲。
1049,律,lǜ,彳,聿,从彳聿聲,均布也。从彳聿聲。
1050,怒,nù,心,奴,从心奴聲,恚也。从心奴聲。
1051,思,sī,思,囟,从心囟聲,容也。从心囟聲。凡思之屬皆从思。
1052,怠,dài,心,台,从心台聲,慢也。从心台聲。
1053,急,jí,心,及,从心及聲,褊也。从心及聲。
1054,怨,yuàn,心,夗,从心夗聲,恚也。从心夗聲。
1055,总,zǒng,糸,悤,从糸悤聲,聚束也。从糸悤聲。
1056,怼,duì,心,對,从心對聲,怨也。从心對聲。
1057,恂,xún,心,旬,从心旬聲,信心也。从心旬聲。
1058,恃,shì,心,寺,从心寺聲,賴也。从心寺聲。
1059,恢,huī,心,灰,从心灰聲,大也。从心灰聲。
1060,恤,xù,心,血,从心血聲,憂也。收也。从心血聲。
1061,恨,hèn,心,艮,从心艮聲,怨也。从心艮聲。
1062,恫,tōng,心,同,从心同聲,痛也。一曰呻吟也。从心同聲。
1063,恬,tián,心,甛,从心，甛省聲,安也。从心，甛省聲。
1064,恸,tòng,心,動,从心動聲,大哭也。从心動聲。
1065,恺,kǎi,豈,豈,从心、豈，豈亦聲,康也。从心、豈，豈亦聲。
1066,恻,cè,心,則,从心則聲,痛也。从心則聲。
1067,恽,yùn,心,軍,从心軍聲,重厚也。从心軍聲。
1068,战,zhàn,戈,單,从戈單聲,鬬也。从戈單聲。
1069,扃,jiōng,戶,冋,从戶冋聲,外閉之關也。从戶冋聲。
